AÑO,MUNICIPIO,TIPO,ACCIÓN,CONTRATO,EMPRESA,MONTO CONTRATADO,AVANCE FÍSICO,AVANCE FINANCIERO,MODALIDAD
2021,VARIOS MUNICIPIOS,PROYECTO,"P.E. Y DICTÁMENES REHAB. Y CONSERV. REC PAVIM PAQUETE 1,2021",SICOM/RE/AM/PU/DPI/SERV/OP/2021-0042,"PROYSECC INGENIERIA, S.A. DE C.V.","$1,168,891.43 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,PROYECTO,"P.E. Y DICTÁMENES REHAB. Y CONSERV. REC PAVIM PAQUETE 2,2021",SICOM/RE/AM/PU/DPI/SERV/OP/2021-0044,ARROYO CARDENAS MARIA ANTONIETA,"$734,546.54 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,OBRA,REHABILITACIÓN LEÓN-SANTA ROSA- MANUEL DOBLADO,SICOM/RE/LP/PA/DCB/OB/OP/2021-0051,"CONSTRUCTORA CIFSA, S.A. DE C.V.","$91,220,922.86 ",70.57 %,0.00 %,LICITACION PUBLICA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA ZONA LEÓN 3 2021,SICOM/RE/LS/PU/DCB/OB/OP/2021-0045,"URBANIZADORA KURAMA, S.A. DE C.V.","$5,900,807.64 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA CARRETERAS CAÑADA DE MORENO 2021,SICOM/RE/LS/PU/DCA/OB/OP/2021-0047,GARNICA BARON VICTOR HUGO,"$4,553,702.80 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA DE LA RED CELAYA 1 2021,SICOM/RE/LS/PU/DCA/OB/OP/2021-0046,"ALQUILERES DE MAQUINARIA DE CELAYA, S.A. DE C.V.","$8,130,253.17 ",99.70 %,100.00 %,LICITACION SIMPLIFICADA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA ZONA LEÓN 1 2021,SICOM/RE/LS/PU/DCB/OB/OP/2021-0050,"TEGNOCON, S.A. DE C.V.","$9,740,124.07 ",100.00 %,94.94 %,LICITACION SIMPLIFICADA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA ZONA GUANAJUATO 1 2021,SICOM/RE/LS/PU/DCB/OB/OP/2021-0048,MORENO OLIVA OCTAVIO MANUEL,"$8,863,326.94 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2021,VARIOS MUNICIPIOS,OBRA,"CONSERVACIÓN RUTINARIA DE LA AUTOPISTA GUANAJUATO - SILAO, 2",SICOM/RE/LS/PU/DCB/OB/OP/2021-0049,"LUACCOM, S.A.S. DE C.V.","$4,411,068.11 ",100.00 %,100.00 %,LICITACION SIMPLIFICADA
2021,VARIOS MUNICIPIOS,OBRA,"CONSERVACIÓN RUTINARIA DE PUENTES ZONA B, 2021",SICOM/RE/AM/PU/DEC/OB/OP/2021-0052,"EVIAL INGENIERIA, S.A. DE C.V.","$2,498,692.26 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,GUANAJUATO,OBRA,NOVENA ETAPA DE LA CANCHA TECHADA EN LA BCENOG,SICOM/RE/AM/PU/DOB/OB/SEG/2021-0053,"CONSTRUCTORA APTIVA, S.A. DE C.V.","$743,259.27 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,PROYECTO,PROYECTO EJECUTIVO DE PARADEROS DE AUTOBUSES PAQ. 1 2021,SICOM/RE/AM/PU/DPI/SERV/OP/2021-0055,AYALA RAMIREZ JOSE LUIS,"$347,433.05 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,PROYECTO,PROYECTO EJECUTIVO DE PARADEROS DE AUTOBUSES PAQ. 2 2021,SICOM/RE/AM/PU/DPI/SERV/OP/2021-0054,GARCIA RENTERIA FRANCISCO JAVIER,"$349,911.81 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,PROYECTO,PROYECTO EJECUTIVO DE PARADEROS DE AUTOBUSES PAQ. 3 2021,SICOM/RE/AM/PU/DPI/SERV/OP/2021-0056,TRONCOSO LANDEROS JOSE FRANCISCO,"$297,444.04 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA ZONA GUANAJUATO 2 2021,SICOM/RE/LP/PU/DCB/OB/OP/2021-0057,"TEGNOCON, S.A. DE C.V.","$7,344,845.53 ",100.00 %,100.00 %,LICITACION PUBLICA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA ZONA CELAYA 2 2021,SICOM/RE/LP/PU/DCA/OB/OP/2021-0058,"INGENIERIA CONSTRUCTIVA PAVSA, S.A. DE C.V.","$7,692,109.41 ",99.70 %,100.00 %,LICITACION PUBLICA
2021,VARIOS MUNICIPIOS,OBRA,CONSERVACIÓN RUTINARIA ZONA CELAYA 3 2021,SICOM/RE/LP/PU/DCA/OB/OP/2021-0059,"AGREGADOS LA ROCA, S.A. DE C.V.","$7,854,783.69 ",100.00 %,100.00 %,LICITACION PUBLICA
2021,SAN MIGUEL DE ALLENDE,PROYECTO,P.E. PAVIM. DEL CAMINO POZO DE BALDERAS-SAN ISIDRO DE LA EST,SICOM/RE/AM/PU/DPI/SERV/OP/2021-0060,"ESTUDIOS, PROYECTOS Y CONSTRUCCIONES CASE, S.A. DE  C.V.","$303,768.66 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,GUANAJUATO,PROYECTO,PROYECTO EJECUTIVO DE ADAPTACIÓN DE INSTALACIONES DE LAS ÁRE,SICOM/RE/AM/PU/DGE/SERV/OP/2021-0061,LABORATORIO Y CONSULTORIA LOA S.A. DE C.V.,"$291,102.52 ",100.00 %,99.00 %,ADJUDICACION DIRECTA
2021,LEÓN,OBRA,TRABAJOS COMPL. EN EL ESTADIO DE BEISBOL DOMINGO SANTANA,SICOM/RE/AM/PU/DOB/OB/OP/2021-0062,"ACCA, S.A. DE C.V.","$3,071,069.25 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,SILAO,OBRA,"SUMINISTRO Y PUESTA EN MARCHA DEL SECCIONADOR ""S-2",SICOM/RE/AE/PU/DOB/OB/GPI/2021-0064,"CONSTRUCTORA ELECTRICA DEL BAJIO, S.A. DE C.V.","$3,322,702.42 ",97.01 %,97.01 %,ADJUDICACION DIRECTA POR EXCEPCION
2021,VALLE DE SANTIAGO,PROYECTO,PY EJEC CONSTRUCCIÓN Y REFORZAMIENTO DE BARDAS PERIMETRALES,SICOM/RE/AM/PU/DPO/SERV/SSP/2021-0063,VARGAS SOTO SALVADOR,"$935,482.01 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA,PROYECTO,PROYECTO EJECUTIVO DEL PUENTE VEHICULAR SOBRE EL ARROYO PALO,SICOM/RE/AM/PU/DPI/SERV/OP/2021-0065,"INGENIEROS DE MEXICO ASOCIADOS PMS, S.A. DE C.V.","$978,826.02 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA,PROYECTO,PROYECTO EJECUTIVO DEL PUENTE VEHICULAR SOBRE EL ARROYO DOLO,SICOM/RE/AM/PU/DPI/SERV/OP/2021-0066,CASTILLO ROCHA PEDRO ARMANDO,"$862,293.17 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,LEÓN,ESTUDIO,ESTUDIOS COMPLEMENTARIOS 2021 E. D. CARR. FED. 45-COMANJILLA,SICOM/RE/AM/PU/DPI/SERV/OP/2021-0067,"ESTUDIOS Y PROYECTOS VIA TRANS, S.A. DE C.V.","$698,799.40 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,LEÓN,OBRA,"ALUMBRADO PÚBLICO DE LA VIALIDAD EJE METROP.,SEGUNDA ETAPA",SICOM/RE/LP/PA/DCB/OB/OP/2021-0068,"CONSORCIO INGENIEROS DE GUANAJUATO, S.A. DE C.V.","$12,137,908.04 ",100.00 %,100.00 %,LICITACION PUBLICA
2021,URIANGATO,OBRA,AMPLIACIÓN Y REMODELACIÓN DEL HOSPITAL GENERAL URIANGATO,SICOM/RE/AE/PA/DOA/OB/ISAPEG/2021-0069,"CONSTRUCTORA CIFSA, S.A. DE C.V.","$69,279,145.95 ",11.07 %,33.56 %,ADJUDICACION DIRECTA POR EXCEPCION
2021,APASEO EL GRANDE,OBRA,ALUMBRADO PÚBLICO ACCESO A MOULINEX - LA LAJA,SICOM/RE/AM/PU/DCA/OB/OP/2021-0070,ARITA AGUILAR BLANCA YANETH,"$1,160,642.80 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
2021,VARIOS MUNICIPIOS,ESTUDIO,"INSP. FÍS Y LEV. DAÑOS EN PUENTES VEHIC. RED EST 2021, PQT 1",SICOM/RE/AM/PU/DPI/SERV/OP/2021-0073,MATA SAAVEDRA JAQUELINE,"$499,665.51 ",100.00 %,100.00 %,ADJUDICACION DIRECTA
